Var   HST   RA(2000.0)   Dec(2000.0)  dist    dist     dist    dist   OGLE-RRLYR-ID         OGLE_ID_I        P             dP          OGLE_ID_V  Type    V       Vmax    Vmin    I       Imax   Imin     Amp_I  Remarks
V135  -     18:54:35.59  -30:33:54.3   7.862   87.350   9.587  1.048  -                     BLG708.10.16027    0.318944    0.000003    15153      EW      -       17.458  18.250  -       16.945  17.029  0.084  -
V136  -     18:54:48.93  -30:29:45.6   3.250   36.107   3.963  0.433  OGLE-BLG-RRLYR-37513  BLG708.09.18427    0.69439102  0.00000350  15884      RRab    18.191  -       -       17.435  -       -       0.185  -
V137  -     18:55:06.09  -30:27:59.8   0.993   11.032   1.211  0.132  OGLE-BLG-RRLYR-37612  BLG708.09.17401    0.77544364  0.00000929  16566      RRab    18.073  -       -       17.302  -       -       0.159  -
V138  -     18:55:06.00  -30:28:21.9   0.716    7.958   0.873  0.095  OGLE-BLG-RRLYR-37610  BLG708.09.19116    0.31164339  0.00000067  16805      RRc     18.213  -       -       17.614  -       -       0.329  -
V139  -     18:55:03.96  -30:29:24.7   0.635    7.052   0.774  0.085  OGLE-BLG-RRLYR-37596  BLG708.09.17570    0.60681184  0.00000115  17723      RRab    18.195  -       -       17.498  -       -       0.499  different period (Pold=0.4040 d)
V140  -     18:55:02.49  -30:30:00.3   1.227   13.630   1.496  0.164  OGLE-BLG-RRLYR-37572  BLG708.09.16735    0.74824744  0.00000509  15840      RRab    18.070  -       -       17.308  -       -       0.282  -
V141  -     18:55:01.26  -30:29:19.2   0.691    7.682   0.843  0.092  OGLE-BLG-RRLYR-37558  BLG708.09.18595    0.33441677  0.00000055  17764      RRc     18.049  -       -       17.496  -       -       0.202  -
V142  VC15  18:54:59.64  -30:28:51.0   0.797    8.857   0.972  0.106  OGLE-BLG-RRLYR-37545  BLG708.09.18844    0.29789489  0.00000048  16201      RRc     17.982  -       -       17.313  -       -       0.249  -
V143  -     18:54:57.42  -30:29:43.3   1.577   17.518   1.923  0.210  OGLE-BLG-RRLYR-37534  BLG708.09.18437    0.66784041  0.00000496  15889      RRab    18.194  -       -       17.451  -       -       0.129  different period (Pold=0.6739 d)
V144  -     18:55:12.10  -30:30:04.5   2.284   25.375   2.785  0.305  -                     BLG708.09.20861    0.72068069  0.00000072  17532      EW      -       18.958  19.902  -       18.673  19.092  0.419  different period (Pold=0.7216 d)
V145  -     18:55:06.42  -30:28:26.6   0.751    8.349   0.916  0.150  -                     BLG708.09.19079    0.26168606  0.00000072  16412      spotted 17.993  -       -       17.436  -       -       0.100  -
V146  -     18:54:34.78  -30:34:30.1   8.388   93.205  10.230  1.118  -                     BLG708.10.17622    0.06527058  0.00000015  16705      SXPhe   19.250  -       -       19.000  -       -       0.232  -
V147  -     18:55:04.81  -30:28:49.7   0.321    3.566   0.391  0.043  OGLE-BLG-RRLYR-37602  BLG708.09.21629    0.27620070  0.00000092  -          RRc     -       -       -       17.003  -       -       0.141  -
V148  VC45  18:55:02.80  -30:29:26.6   0.662    7.351   0.807  0.088  -                     BLG708.09.18534    0.26704353  0.00000079  15963      RRc     17.711  -       -       17.362  -       -       0.081  -
V149  -     18:54:58.65  -30:29:57.2   1.538   17.090   1.876  0.205  -                     BLG708.09.18383    0.08083559  0.00000018  17566      SXPhe   18.468  -       -       18.086  -       -       0.151  -
V150  -     18:54:33.58  -30:29:16.8   6.428   71.419   7.839  0.857  -                     BLG708.10.21722    0.06153675  0.00000026  17557      SXPhe   19.839  -       -       19.753  -       -       0.424  -
V151  -     18:54:51.78  -30:28:32.1   2.502   27.798   3.051  0.334  OGLE-BLG-RRLYR-37517  BLG708.09.19041    0.34336667  0.00000057  16382      RRc     18.219  -       -       17.631  -       -       0.260  -
V152  -     18:55:06.25  -30:28:45.2   0.630    7.003   0.769  0.084  OGLE-BLG-RRLYR-37615  BLG708.09.15997    0.31414247  0.00000116  14393      RRc     18.047  -       -       17.382  -       -       0.278  -
V153  -     18:55:00.68  -30:27:56.9   1.018   11.316   1.242  0.136  -                     BLG708.09.15278    -           -           14384      SR      15.641  15.606  15.674  14.148  14.119  14.194  0.075  -
V154  -     18:55:00.93  -30:28:08.0   0.837    9.302   1.021  0.112  -                     BLG708.09.15107   35.          -           14380      SR      15.222  15.190  15.279  13.561  13.495  13.608  0.113  -
V155  -     18:55:00.08  -30:30:33.5   1.900   21.115   2.317  0.253  -                     BLG708.09.15157    -           -           -          -       -       -       -       -       -       -       -      non-variable, misclassified as a SR
V156  -     18:54:57.74  -30:25:57.4   3.080   34.227   3.757  0.411  -                     BLG708.18.12      65.          -           54         SR      15.299  15.257  15.345  13.643  13.599  13.693  0.094  -
V157  -     18:55:21.50  -30:25:20.5   5.220   57.997   6.366  0.696  -                     -                  -           -           -          RRc     -       -       -        -      -       -       -      in the gap between OGLE CCDs
V158  -     18:54:58.30  -30:30:27.1   1.982   22.025   2.417  0.264  OGLE-BLG-RRLYR-37539  BLG708.09.18276    0.61819039  0.00000176  15761      RRab    18.241  -       -       17.547  -       -       0.385  different period (Pold=0.6161 d)
V159  -     18:55:03.58  -30:29:55.4   1.133   12.588   1.382  0.151  OGLE-BLG-RRLYR-37589  BLG708.09.16748    0.74191497  0.00000436  15854      RRab    18.076  -       -       17.326  -       -       0.285  different period (Pold=0.6590 d)
V160  VC34  18:55:03.92  -30:28:30.1   0.317    3.518   0.386  0.042  OGLE-BLG-RRLYR-37595  BLG708.09.19052    0.62813716  0.00000240  -          RRab    17.425  -       -       17.559  -       -       0.682  different period (Pold=0.6195 d)
V161  -     18:55:06.83  -30:28:46.7   0.754    8.380   0.920  0.101  OGLE-BLG-RRLYR-37616  BLG708.09.21661    0.59213607  0.00000469  26063      RRab    17.901  -       -       17.078  -       -       0.318  different period (Pold=0.3963 d)
V162  VC11  18:55:03.75  -30:29:30.3   0.719    7.990   0.877  0.096  OGLE-BLG-RRLYR-37592  BLG708.09.18516    0.60035882  0.00000096  15944      RRab    18.052  -       -       17.405  -       -       0.450  different period (Pold=0.5955 d)
V163  VC12  18:55:05.04  -30:29:29.6   0.793    8.806   0.966  0.106  OGLE-BLG-RRLYR-37604  BLG708.09.18519    0.58907088  0.00000120  15948      RRab    18.287  -       -       17.520  -       -       0.452  -
V164  VC14  18:55:01.71  -30:29:20.9   0.657    7.300   0.801  0.088  OGLE-BLG-RRLYR-37564  BLG708.09.18574    0.51419469  0.00000406  15989      RRab    18.092  -       -       17.651  -       -       0.708  -
V165  -     18:55:05.97  -30:29:14.9   0.729    8.104   0.890  0.097  OGLE-BLG-RRLYR-37609  BLG708.09.18625    0.59769073  0.00000203  16012      RRab    18.168  -       -       17.467  -       -       0.394  different period (Pold=0.6653 d)
V166  -     18:54:44.42  -30:24:28.7   5.934   65.937   7.237  0.791  -                     BLG708.18.157      -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a RRc), bright star
V167  -     18:54:59.85  -30:23:56.0   4.916   54.621   5.995  0.655  -                     BLG708.18.356      -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a RRc), bright star
V168  -     18:55:07.13  -30:29:05.0   0.869    9.656   1.060  0.116  OGLE-BLG-RRLYR-37619  BLG708.09.16963    0.55595908  0.00000105  -          RRab    17.806  -       -       17.237  -       -       0.525  -
V169  -     18:55:04.68  -30:29:02.7   0.386    4.291   0.471  0.052  -                     BLG708.09.28930    -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a RRc)
V170  -     18:55:24.73  -30:24:39.7   6.191   68.788   7.550  0.825  -                     BLG708.17.54       -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a RRab), bright star
V171  -     18:55:04.26  -30:28:18.4   0.525    5.831   0.640  0.070  -                     cM54.676           0.57157092  0.00000224  16461      RRab    17.828  -       -       17.537  -       -       0.497  different period (Pold=0.5680 d)
V172  -     18:55:06.13  -30:29:00.8   0.643    7.141   0.784  0.086  OGLE-BLG-RRLYR-37614  BLG708.09.38428    0.60580398  0.00000216  16123      RRab    17.857  -       -       17.777  -       -       0.507  misclassified as a RRc
V173  -     18:55:02.48  -30:29:00.2   0.280    3.110   0.341  0.037  -                     BLG708.09.22483    0.36028438  0.00000157  -          RRc     -       -       -       17.194  -       -       0.167  different period (Pold=0.3616 d)
V174  -     18:55:05.89  -30:29:29.9   0.896    9.960   1.093  0.120  OGLE-BLG-RRLYR-37608  BLG708.09.18518    0.29745686  0.00000026  17693      RRc     18.192  -       -       17.703  -       -       0.347  -
V175  -     18:55:04.89  -30:28:19.0   0.582    6.467   0.710  0.078  -                     BLG708.09.19156    -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a RRab)
V176  -     18:55:06.84  -30:27:57.9   1.120   12.450   1.366  0.149  OGLE-BLG-RRLYR-37618  BLG708.09.19272    0.59780018  0.00000187  16573      RRab    18.258  -       -       17.509  -       -       0.444  -
V177  -     18:55:01.14  -30:28:30.7   0.549    6.097   0.669  0.073  OGLE-BLG-RRLYR-37556  BLG708.09.19047    0.48806536  0.00000190  16372      RRab    18.215  -       -       17.523  -       -       0.516  -
V178  -     18:55:01.66  -30:28:32.4   0.439    4.879   0.535  0.059  OGLE-BLG-RRLYR-37562  BLG708.09.19033    0.66176302  0.00000214  20759      RRab    18.123  -       -       17.317  -       -       0.615  -
V179  VC18  18:55:01.22  -30:28:34.7   0.502    5.580   0.612  0.067  OGLE-BLG-RRLYR-37557  BLG708.09.28937    0.57101319  0.00000433  -          RRab    -       -       -       17.707  -       -       0.794  -
V180  -     18:55:03.45  -30:29:14.9   0.457    5.082   0.558  0.061  OGLE-BLG-RRLYR-37588  BLG708.09.18628    0.53134262  0.00000510  16017      RRab    17.979  -       -       17.244  -       -       0.403  -
V181  VC28  18:55:02.40  -30:28:34.3   0.298    3.307   0.363  0.040  -                     cM54.1499          0.46665519  0.00000245  18697      RRab    17.693  -       -       17.611  -       -       0.580  different period (Pold=0.5072 d)
V182  -     18:55:01.61  -30:28:51.7   0.377    4.191   0.460  0.050  OGLE-BLG-RRLYR-37561  BLG708.09.21604    0.68858868  0.00000210  18000      RRab    17.783  -       -       17.181  -       -       0.536  -
V183  -     18:55:04.84  -30:29:45.8   1.025   11.386   1.250  0.137  OGLE-BLG-RRLYR-37603  BLG708.09.18420    0.26942505  0.00000029  15883      RRc     18.100  -       -       17.659  -       -       0.192  -
V184  -     18:55:01.42  -30:29:22.0   0.707    7.856   0.862  0.094  OGLE-BLG-RRLYR-37559  BLG708.09.16874    0.95923355  0.00000844  15984      RRab    17.701  -       -       17.071  -       -       0.389  misclassified as a RRc (possible anomalous cepheid)
V185  -     18:55:01.69  -30:28:26.5   0.497    5.526   0.607  0.066  OGLE-BLG-RRLYR-37563  BLG708.09.19083    0.32850992  0.00000084  16417      RRc     17.858  -       -       17.577  -       -       0.265  -
V186  -     18:54:59.85  -30:28:35.4   0.776    8.627   0.947  0.104  OGLE-BLG-RRLYR-37546  BLG708.09.17608    0.47241120  0.00000294  16336      RRc     17.936  -       -       17.322  -       -       0.282  -
V187  -     18:55:02.61  -30:29:08.8   0.387    4.305   0.472  0.052  -                     cM54.1425          0.62211657  0.00000330  38531      RRab    17.541  -       -       17.383  -       -       0.793  different period (Pold=0.5534 d)
V188  -     18:55:03.15  -30:29:19.7   0.538    5.979   0.656  0.072  OGLE-BLG-RRLYR-37584  BLG708.09.18587    0.56390650  0.00000186  15286      RRab    18.240  -       -       17.533  -       -       0.568  -
V189  -     18:55:14.97  -30:33:14.0   5.100   56.667   6.220  0.680  -                     BLG708.09.15138    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V190  -     18:55:20.03  -30:26:46.1   4.129   45.878   5.035  0.551  -                     BLG708.18.3        -           -           -          SR      -       -       -       13.683  13.627  13.753  0.126  misclassified as a RRab
V191  -     18:55:04.34  -30:29:08.8   0.416    4.627   0.508  0.056  -                     BLG708.09.15076  118.          -           -          SR      -       -       -       13.265  13.000  13.493  0.493  misclassified as a RRc
V192  VC46  18:55:01.97  -30:29:02.9   0.390    4.328   0.475  0.052  OGLE-BLG-RRLYR-37568  BLG708.09.15458    0.60035438  0.00000642  -          RRab    16.212  -       -       15.023  -       -       0.036  misclassified as a RRc
V193  -     18:55:05.29  -30:28:47.4   0.422    4.692   0.515  0.056  OGLE-BLG-RRLYR-37605  BLG708.09.21652    0.30904424  0.00000083  18033      RRc     18.034  -       -       17.230  -       -       0.241  -
V194  -     18:55:02.73  -30:29:14.2   0.463    5.149   0.565  0.062  OGLE-BLG-RRLYR-37574  BLG708.09.18633    0.57750146  0.00000671  16020      RRab    18.285  -       -       17.362  -       -       0.327  -
V195  -     18:55:07.94  -30:30:16.2   1.781   19.787   2.172  0.237  -                     BLG708.09.16678    -           -           -          -       -       -       -       -       -       -       -      non-variable
V196  -     18:55:08.02  -30:25:03.2   3.873   43.036   4.723  0.516  -                     BLG708.18.66       -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V197  -     18:55:27.01  -30:27:35.0   5.244   58.261   6.395  0.699  -                     BLG708.08.21027    -           -           -          -       -       -       -       -       -       -       -      non-variable
V198  -     18:55:17.99  -30:27:48.8   3.307   36.742   4.033  0.441  -                     BLG708.09.15280    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V199  -     18:55:07.30  -30:25:50.3   3.075   34.168   3.750  0.410  -                     BLG708.18.56       -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V200  -     18:55:01.42  -30:25:36.5   3.210   35.665   3.914  0.428  -                     BLG708.18.59       -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V201  -     18:55:02.70  -30:25:39.8   3.131   34.790   3.818  0.417  -                     BLG708.18.58       -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V202  -     18:55:03.00  -30:24:49.8   3.962   44.024   4.832  0.528  -                     BLG708.18.67       -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V203  -     18:55:14.54  -30:28:13.1   2.482   27.583   3.027  0.331  -                     BLG708.09.15104    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V204  -     18:54:56.47  -30:27:54.4   1.723   19.140   2.101  0.230  -                     BLG708.09.22230    -           -           -          -       -       -       -       -       -       -       -      non-variable
V205  -     18:55:05.91  -30:30:04.9   1.405   15.609   1.713  0.187  -                     BLG708.09.15161    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V206  -     18:55:00.64  -30:28:39.4   0.595    6.610   0.725  0.079  -                     BLG708.09.15090    -           -           -          SR      -       -       -       13.468  13.433  13.503  0.070  misclassified as a RRab, bright star
V207  -     18:54:54.46  -30:33:43.1   5.284   58.715   6.444  0.705  -                     BLG708.09.15061    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V208  -     18:54:48.82  -30:31:29.7   4.133   45.920   5.040  0.551  -                     BLG708.09.15149    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V209  -     18:54:49.70  -30:31:33.6   4.035   44.837   4.921  0.538  -                     BLG708.09.15358    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V210  -     18:55:09.64  -30:29:05.3   1.392   15.461   1.697  0.186  -                     BLG708.09.15188    -           -           -          SR      -       -       -       13.807  13.777  13.841  0.064  misclassified as a RRab, bright star
V211  -     18:55:05.83  -30:28:23.2   0.674    7.485   0.821  0.090  -                     BLG708.09.15258    -           -           -          -       -       -       -       -       -       -       -      non-variable, bright star
V212  VC35
V213  VC40  18:55:02.13  -30:28:39.9   0.288    3.199   0.351  0.038  -                     M54_hst.09.43      0.28606260  0.00000164  -          RRc     18.108  -       -       17.506  -       -       0.217  -
V214  VC39  18:55:02.97  -30:28:36.0   0.207    2.297   0.252  0.028  -                     BLG708.09.15619    0.62391666  0.00000796  -          RRab    18.067  -       -       17.404  -       -       0.282  -
V215  VC25  18:55:02.69  -30:28:52.3   0.159    1.771   0.194  0.021  -                     BLG708.09.18824    0.30716020  0.00000214  -          RRc     17.868  -       -       17.599  -       -       0.282  -
V216  VC9
V217  -     18:55:02.07  -30:29:03.6   0.382    4.241   0.465  0.051  -                     cM54.1643          0.33154861  0.00000101  15295      RRc      -      -       -       17.492  -       -       0.232  -
V218  -
V219  -     18:55:03.25  -30:28:59.5   0.201    2.230   0.245  0.027  -                     cM54.1126          0.38263420  0.00000208  15294      RRc     17.427  -       -       17.367  -       -       0.210  -
V220  VC4   18:55:03.18  -30:28:38.7   0.150    1.668   0.183  0.020  -                     cM54.702           0.60260403  0.00000560  -          RRab    17.964  -       -       17.496  -       -       0.308  -
V221  VC8
V222  -
V223  VC10  18:55:02.44  -30:28:45.3   0.195    2.169   0.238  0.026  -                     cM54.1500          0.47190470  0.00000439  -          RRab    18.114  -       -       17.561  -       -       0.509  -
V224  VC20
V225  VC37
V227  -     18:55:03.05  -30:28:36.2   0.198    2.197   0.241  0.026  OGLE-BLG-RRLYR-37582  BLG708.09.18999    0.50805795  0.00000251  -          RRab    17.025  -       -       16.597  -       -       0.235  -
V228  -     18:55:02.73  -30:28:51.4   0.145    1.608   0.176  0.019  OGLE-BLG-RRLYR-37575  BLG708.09.18839    0.52522562  0.00000443  -          RRab    17.009  -       -       16.163  -       -       0.181  -
V229  -     18:55:04.06  -30:28:58.4   0.240    2.670   0.293  0.032  OGLE-BLG-RRLYR-37597  BLG708.09.19428    0.5267978   0.0000015   -          RRab    -       -       16.379  -       -       -       0.276  -
V230  -     18:55:03.60  -30:28:55.6   0.147    1.633   0.179  0.020  -                     BLG708.09.18786    1.14311381  0.00004626  -          BLHer   -       -       -       15.669  -       -       0.127  -
V231  VC26  18:55:02.86  -30:28:57.9   0.201    2.230   0.245  0.027  -                     cM54.1303          0.53418417  0.00000141  -          RRab    18.105  -       -       17.221  -       -       0.324  -
V232  VC41
V233  VC30  18:55:03.71  -30:28:40.4   0.144    1.599   0.175  0.019  OGLE-BLG-RRLYR-37591  BLG708.09.18949    0.55753147  0.00000387  -          RRab    -       -       -       16.429  -       -       0.528  -
V234  VC7   18:55:02.28  -30:28:37.3   0.283    3.144   0.345  0.038  -                     BLG708.09.18989    0.55990901  0.00000996  -          RRab    17.960  -       -       17.406  -       -       0.242  -
V235  -
V236  VC36  18:55:03.16  -30:28:35.2   0.208    2.314   0.254  0.028  OGLE-BLG-RRLYR-37585  BLG708.09.17196    0.56847125  0.00000406  -          RRab    16.352  -       -       15.526  -       -       0.099  -
V237  VC31  18:55:02.11  -30:28:44.7   0.267    2.966   0.326  0.036  OGLE-BLG-RRLYR-37570  BLG708.09.15993    0.57985290  0.00000426  -          RRab    -       -       -       17.461  -       -       0.449  -
V238  -
V239  -     18:55:02.86  -30:29:06.7   0.336    3.729   0.409  0.045  -                     cM54.1317          0.59618285  0.00000538  14969      RRab    18.173  -       -       17.506  -       -       0.501  -
V240  -     18:55:02.74  -30:28:30.6   0.309    3.433   0.377  0.041  OGLE-BLG-RRLYR-37576  BLG708.09.16078    0.59629547  0.00000360  26363      RRab    17.063  -       -       17.494  -       -       0.669  -
V241  VC1   18:55:04.17  -30:28:39.3   0.226    2.520   0.277  0.030  -                     M54_hst.09.4       0.60260074  0.00001031  -          RRab    -       -       -       17.389  -       -       0.389  -
V242  -     18:55:02.75  -30:29:00.1   0.244    2.715   0.298  0.033  -                     cM54.1371          0.60477721  0.00000229  20490      RRab    17.220  -       -       17.538  -       -       0.514  -
V243  -
V244  -     18:55:03.02  -30:29:01.7   0.246    2.733   0.300  0.033  OGLE-BLG-RRLYR-37581  BLG708.09.21470    0.61517949  0.00000504  16678      RRab    17.970  -       -       16.696  -       -       0.135  -
V246  -     18:55:02.62  -30:28:41.6   0.182    2.020   0.222  0.024  OGLE-BLG-RRLYR-37573  BLG708.09.15513    0.62879467  0.00000562  -          RRab    16.112  -       -       14.656  -       -       0.057  -
V247  -     18:55:02.80  -30:28:43.6   0.131    1.460   0.160  0.018  -                     cM54.1344          0.65094165  0.00000956  18079      RRab    16.830  -       -       17.503  -       -       0.415  -
V248  -
V250  VC23  18:55:03.69  -30:29:00.2   0.225    2.505   0.275  0.030  OGLE-BLG-RRLYR-37590  BLG708.09.18749    0.68064951  0.00000538  -          RRab    17.570  -       -       17.919  -       -       0.762  -
V251  -     18:55:02.86  -30:28:30.4   0.302    3.361   0.369  0.040  OGLE-BLG-RRLYR-37579  BLG708.09.22482    0.68927740  0.00000475  16392      RRab    16.877  -       -       17.571  -       -       0.771  -
V252  -     18:55:03.77  -30:29:07.7   0.350    3.886   0.427  0.047  OGLE-BLG-RRLYR-37593  BLG708.09.18680    0.72866844  0.00000512  17856      RRab    17.995  -       -       17.169  -       -       0.416  -
V253  -     18:55:03.27  -30:28:28.6   0.315    3.503   0.384  0.042  OGLE-BLG-RRLYR-37586  BLG708.09.19448    0.74391157  0.00000863  18572      RRab    17.900  -       -       16.321  -       -       0.108  -
V254  -     18:55:02.87  -30:28:50.0   0.108    1.195   0.131  0.014  -                     cM54.1306          0.74756552  0.00000926  18012      RRab    16.215  -       -       17.430  -       -       0.758  -
V255  VC5   18:55:03.11  -30:28:38.2   0.162    1.801   0.198  0.022  -                     M54_hst.09.8       0.76006134  0.00002990  -          RRab    -       -       -       17.151  -       -       0.183  -
V256  -     18:55:03.73  -30:28:45.1   0.095    1.056   0.116  0.013  -                     cM54.897          14.7877      0.0195      16260      WVir    15.466  -       -       15.292  -       -       1.284  -
V262  -     18:55:01.88  -30:28:44.0   0.318    3.531   0.388  0.042  -                     BLG708.09.15214    -           -           14609      v       15.560  15.528  15.582  13.916  13.886  13.944  0.058  -
V263  -     18:55:03.88  -30:28:59.3   0.230    2.551   0.280  0.031  -                     cM54.833           0.58513811  0.00000494  14556      RRab    16.249  -       -       17.439  -       -       0.465  -
V270  -     18:55:02.60  -30:28:49.0   0.159    1.770   0.194  0.021  -                     BLG708.09.15203    -           -           14586      v       15.608  15.571  15.643  13.550  13.508  13.603  0.095  -
V271  -     18:55:04.01  -30:28:37.2   0.226    2.507   0.275  0.030  -                     BLG708.09.15232    -           -           15151      SR      15.263  15.210  15.309  13.737  13.689  13.793  0.104  -
V273  -     18:55:03.70  -30:28:35.5   0.215    2.392   0.263  0.029  -                     BLG708.09.15092   61.          -           14365      SR      15.138  15.070  15.269  13.284  13.222  13.359  0.137  -
V274  -     18:55:03.83  -30:29:04.0   0.295    3.281   0.360  0.039  -                     BLG708.09.15077   40.          -           14336      SR      15.090  15.046  15.135  13.407  13.365  13.442  0.077  -
V275  -     18:55:02.35  -30:28:43.5   0.221    2.460   0.270  0.030  -                     BLG708.09.15217   56.          -           14611      SR      15.277  15.171  15.380  13.697  13.624  13.806  0.182  -
V279  -     18:55:04.04  -30:28:41.6   0.182    2.020   0.222  0.024  -                     BLG708.09.15089    -           -           -          SR      -       -       -       13.352  13.243  13.499  0.256  -
V280  -     18:55:03.69  -30:28:52.2   0.110    1.225   0.134  0.015  -                     cM54.915         136.          -           18005      SR      15.798  15.564  15.470  13.782  14.938  -       -      -
V282  -
V284  VC32  18:55:03.32  -30:28:38.1   0.157    1.741   0.191  0.021  -                     M54_hst.09.35      0.61970417  0.00001966  -          RRab    -       -       -       17.343  -       -       0.269  -
V285  VC33  18:55:02.68  -30:28:32.8   0.282    3.135   0.344  0.038  -                     M54_hst.09.36      0.63353914  0.00002277  -          RRab    18.282  -       -       17.244  -       -       0.245  -
V286  -     18:55:03.54  -30:28:51.2   0.076    0.850   0.093  0.010  -                     cM54.979         473.          -           16184      SR      15.452  15.437  15.470  15.152  14.500  15.587  1.087  -
V287  -     18:55:03.37  -30:28:36.0   0.192    2.131   0.234  0.026  -                     BLG708.09.15235   36.          -           16349      SR      16.147  16.025  16.261  13.936  13.863  14.004  0.141  -
V289  -     18:55:02.91  -30:28:40.0   0.154    1.714   0.188  0.021  -                     cM54.1279          0.47393621  0.00000379  16319      RRab    17.005  -       -       17.398  -       -       0.587  -
V290  -     18:55:03.48  -30:29:06.0   0.310    3.445   0.378  0.041  -                     BLG708.09.15187    -           -           14335      v       15.487  15.438  15.529  13.984  13.938  14.057  0.119  -
V291  VC27  18:55:03.26  -30:28:41.3   0.104    1.160   0.127  0.014  -                     M54_hst.09.30      0.33811834  0.00000390  -          RRc     18.168  -       -       17.209  -       -       0.171  -
V292  VC16  18:54:58.75  -30:28:41.7   0.991   11.017   1.209  0.132  -                     BLG708.09.18928    0.27841186  0.00000046  -          RRc     18.340  -       -       17.703  -       -       0.217  -
V293  VC22  18:55:03.70  -30:28:26.6   0.357    3.970   0.436  0.048  -                     M54_hst.09.25      0.61926345  0.00001565  -          RRab    18.022  -       -       17.460  -       -       0.257  -
V294  VC24  18:55:03.06  -30:28:24.0   0.396    4.400   0.483  0.053  -                     BLG708.09.21913    0.35961330  0.00000201  -          RRc     18.028  -       -       17.322  -       -       0.209  -
V295  VC38  18:55:02.89  -30:28:27.8   0.342    3.797   0.417  0.046  OGLE-BLG-RRLYR-37578  BLG708.09.19072    0.61180688  0.00000360  -          RRab    17.817  -       -       17.224  -       -       0.305  -
V296  -     18:54:31.64  -30:29:41.5   6.886   76.508   8.397  0.918  OGLE-BLG-RRLYR-37500  BLG708.10.17057    0.64230352  0.00000165  15394      RRab    18.284  -       -       17.507  -       -       0.275  -
V297  -     18:54:34.83  -30:30:41.8   6.427   71.413   7.838  0.857  -                     BLG708.10.15464   50.          -           14737      SR      15.753  15.466  16.095  13.359  13.268  13.543  0.275  -
V298  -     18:54:49.14  -30:25:51.5   4.238   47.089   5.168  0.565  -                     BLG708.18.296      0.864290    0.000034    681        spotted 18.012  14.843  18.165  16.412  16.278  16.592  0.314  -
V299  -     18:54:50.41  -30:32:49.7   4.902   54.470   5.978  0.654  -                     BLG708.09.15141    0.2373719   0.0000022   14267      spotted 14.606  14.540  16.663  14.177  14.120  14.223  0.113  -
V300  -     18:54:52.46  -30:25:38.5   3.926   43.622   4.788  0.523  -                     BLG708.18.2581     0.769865    0.000008    11603      EW      -       20.449  -       -       18.277  18.539  0.262  -
V301  -     18:54:52.95  -30:29:53.5   2.492   27.688   3.039  0.332  -                     BLG708.09.15162    -           -           14321      v       15.555  15.503  15.645  13.959  13.915  14.025  0.110  -
V302  -     18:54:54.51  -30:24:53.1   4.345   48.276   5.299  0.579  -                     BLG708.18.2733     2.795908    0.000028    1569       EB      -       18.697  -       -       18.599  20.234  1.635  -
V303  -     18:54:55.88  -30:32:43.4   4.246   47.181   5.178  0.566  -                     BLG708.09.15144  130.          -           14445      SR      16.450  16.414  16.476  14.514  14.496  14.539  0.043  -
V304  -     18:54:58.80  -30:28:10.5   1.155   12.829   1.408  0.154  -                     BLG708.09.22068    0.711828    0.000007    21009      EB      -       18.935  19.662  -       18.751  19.019  0.268  -
V305  -     18:55:00.07  -30:28:47.0   0.702    7.805   0.857  0.094  -                     BLG708.09.19443    0.657029    0.000001    18505      EW      18.640  -       -       -       18.457  18.904  0.447  -
V306  -     18:55:00.19  -30:28:36.2   0.702    7.803   0.856  0.094  -                     BLG708.09.15236    -           -           14364      v       15.488  15.459  15.527  14.012  13.973  14.066  0.093  -
V307  -     18:55:00.47  -30:28:16.7   0.802    8.911   0.978  0.107  -                     BLG708.09.15268   44.          -           14375      SR      15.408  15.370  15.467  13.774  13.727  13.823  0.096  -
V308  -     18:55:00.51  -30:28:48.4   0.608    6.753   0.741  0.081  -                     cM54.2151          0.57200459  0.00000445  16235      RRab    18.148  -       -       17.652  -       -       0.494  -
V309  -     18:55:01.10  -30:28:33.8   0.532    5.911   0.649  0.071  -                     BLG708.09.15095   30.          -           14367      SR      15.181  15.148  15.207  13.599  13.564  13.644  0.080  -
V310  -     18:55:01.70  -30:28:39.7   0.375    4.161   0.457  0.050  OGLE-BLG-RRLYR-37565  BLG708.09.21745    0.61676758  0.00000369  20676      RRab    17.634  -       -       17.009  -       -       0.228  -
